Type,Title,Deadline,URL,Description,GrantWatch ID
Grant,Grants to North Carolina Nonprofits for Programs that Benefit Children and Families in Eligibl...,11/18/25,https://www.grantwatch.com/grant/149212/grants-to-north-carolina-nonprofits-for-programs-that-benefit-children-and-families-in-eligible-areas.html,"Grants of up to $10,000 to North Carolina nonprofit organizations for programs that benefit children in eligible locations. Funding is intended for projects and activities that serve children and youth in the community, ranging from birth through 18 years of age. Eligi...",149212
Grant,Grants to California Local Governments for Programs that Encourage Waste Reduction,11/18/25,https://www.grantwatch.com/grant/169395/grants-to-california-local-governments-for-programs-that-encourage-waste-reduction.html,Grants to California local municipal governments for projects that encourage waste reduction. First-time applicants must contact the funding source to request access to the online application. Funding is intended to support programs to recycle bottles and other aluminu...,169395
Grant,Grants to Rhode Island Municipal Agencies and Tribes to Purchase and Develop Outdoor Recreatio...,11/18/25,https://www.grantwatch.com/grant/169989/grants-to-rhode-island-municipal-agencies-and-tribes-to-purchase-and-develop-outdoor-recreational-areas.html,"Grants to Rhode Island municipal agencies and Tribes to acquire, develop, and renovate outdoor recreational areas and facilities for public use. Applicants must hold a public meeting about proposed projects prior to applying. Funding is intended to support small and la...",169989
Grant,Grants to New York City Nonprofits and Collectives to Offer Arts and Cultural Programming to L...,11/18/25,https://www.grantwatch.com/grant/174633/grants-to-new-york-city-nonprofits-and-collectives-to-offer-arts-and-cultural-programming-to-local-residents-in-eligible-locations.html,"Grants of up to $5,000 to New York City nonprofit organizations and collectives to offer arts and cultural programming to local residents in eligible locations. Applicants must attend or watch an information session prior to applying. Funding is intended to support pro...",174633
Grant,Grants to New York City Artists in Eligible Locations for the Creation of Original Artistic Wo...,11/18/25,https://www.grantwatch.com/grant/175250/grants-to-new-york-city-artists-in-eligible-locations-for-the-creation-of-original-artistic-work.html,"Grants of up to $5,000 to New York City artists and collectives in eligible locations to support the creation of new work in any artistic discipline. Applicants must attend or view an information session prior to applying. Projects must contain a public component. Elig...",175250
Grant,"Grants to Wyoming Nonprofits, For-Profits, and Civic Organizations to Increase Tourism",11/18/25,https://www.grantwatch.com/grant/175429/grants-to-wyoming-nonprofits-for-profits-and-civic-organizations-to-increase-tourism.html,"Grants to Wyoming nonprofit and for-profit organizations, civic organizations, and tourism-related organizations to increase tourism in eligible locations. Funding is intended to support promotional materials and advertising of events and attractions that will attract ...",175429
Grant,Grants to Ohio Nonprofits to Promote the Mental and Physical Health of Local Residents,11/18/25,https://www.grantwatch.com/grant/176973/grants-to-ohio-nonprofits-to-promote-the-mental-and-physical-health-of-local-residents.html,Grants to Ohio nonprofit organizations to address the mental and physical health of residents in eligible counties. Applicants must contact program staff before applying. Particular focus is given to the affordability of healthcare for uninsured and underinsured indivi...,176973
Grant,Grants to Maine Researchers for Projects that Support the Local Coastal Region,11/18/25,https://www.grantwatch.com/grant/180147/grants-to-maine-researchers-for-projects-that-support-the-local-coastal-region.html,"Grants of up to $5,000 to Maine researchers for research and development projects related to the state's coastal regions. Funding is intended to support efforts in the areas of education, research, extension, and outreach. Additionally, funds may be requested for trave...",180147
Grant,"Grants to USA, Canada, and International Individuals with Doctoral Degrees for Sarcoma Research",11/18/25,https://www.grantwatch.com/grant/205889/grants-to-usa-canada-and-international-individuals-with-doctoral-degrees-for-sarcoma-research.html,"Grants to USA, Canada, and International individuals with doctoral degrees for sarcoma research. Eligible research projects must be translational or clinical in nature and must be directly applicable to sarcoma. Funding is intended to support the fellow's salary for th...",205889
Grant,Grants to Minnesota Public Water Suppliers for Projects That Protect Source Water,11/18/25,https://www.grantwatch.com/grant/208097/grants-to-minnesota-public-water-suppliers-for-projects-that-protect-source-water.html,Grants to Minnesota public water systems for projects that protect source water. Funding is intended to provide sustainable and long-term management of drinking water sources. Priority will be given to projects that help to identify groundwater or surface contamination...,208097
Grant,"Grants to New York Nonprofits, For-Profits, IHEs, Unions, and Service Providers to Train Peopl...",11/18/25,https://www.grantwatch.com/grant/214246/grants-to-new-york-nonprofits-for-profits-ihes-unions-and-service-providers-to-train-people-in-the-clean-energy-industry.html,"Grants to New York nonprofit and for-profit organizations, high schools, IHEs, unions, and service providers to train people in the clean energy industry. Applicants must submit a concept paper prior to submitting a full application. Funding is intended to prepare the ...",214246
