Type,Title,Organization,Deadline,Amount,Description,URL,Category,Posted Date
RFP,UC Sustainable Agriculture Research and Education Program invites applications for small grants,,"January 14, 2026",,"Small grants will be awarded to support projects that build the capacity of farming and food systems businesses and organizations to become reflective, adaptive learning organizations that can respond effectively to ecological, economic, and social change and disruption....",https://philanthropynewsdigest.org/rfps/rfp18492-uc-sustainable-agriculture-research-and-education-program-invites-applications-for-small-grants,,"November 13, 2025"
RFP,UC Sustainable Agriculture Research and Education Program invites applications for small grants,,"January 14, 2026",,"Small grants will be awarded to support projects that build the capacity of farming and food systems businesses and organizations to become reflective, adaptive learning organizations that can respond effectively to ecological, economic, and social change and disruption....",https://philanthropynewsdigest.org/rfps/rfp18492-uc-sustainable-agriculture-research-and-education-program-invites-applications-for-small-grants,,"November 13, 2025"
RFP,Association of Reptile and Amphibian Veterinarians invites applications for the conservation of reptiles and amphibians,,"January 15, 2026","$1,500 will be awarded to support conservation-based projects involving reptiles and/or amphibians","A grant of $1,500 will be awarded to support conservation-based projects involving reptiles and/or amphibians....",https://philanthropynewsdigest.org/rfps/rfp18493-association-of-reptile-and-amphibian-veterinarians-invites-applications-for-the-conservation-of-reptiles-and-amphibians,,"November 14, 2025"
RFP,Association of Reptile and Amphibian Veterinarians invites applications for the conservation of reptiles and amphibians,,"January 15, 2026","$1,500 will be awarded to support conservation-based projects involving reptiles and/or amphibians","A grant of $1,500 will be awarded to support conservation-based projects involving reptiles and/or amphibians....",https://philanthropynewsdigest.org/rfps/rfp18493-association-of-reptile-and-amphibian-veterinarians-invites-applications-for-the-conservation-of-reptiles-and-amphibians,,"November 14, 2025"
RFP,Indian Arts Research Center invites applications for artist-in-residence fellowships,,"January 15, 2026","$25,000 will be awarded to mature painters, sculptors, and printmakers who have been creating art for at least 20 years and are in financial need","Fellowships will be awarded to give Native artists time to explore new avenues of creativity, grapple with new ideas they can integrate into their work and strengthen their existing talents....",https://philanthropynewsdigest.org/rfps/rfp18507-indian-arts-research-center-invites-applications-for-artist-in-residence-fellowships,,"November 18, 2025"
RFP,Indian Arts Research Center invites applications for artist-in-residence fellowships,,"January 15, 2026",,"Fellowships will be awarded to give Native artists time to explore new avenues of creativity, grapple with new ideas they can integrate into their work and strengthen their existing talents....",https://philanthropynewsdigest.org/rfps/rfp18507-indian-arts-research-center-invites-applications-for-artist-in-residence-fellowships,,"November 18, 2025"
RFP,Virginia Center for the Creative Arts invites applications for fellowships,,"January 15, 2026",,"Applicants selected for the VCCA residency at Mt. San Angelo will be provided with uninterrupted time and space to produce works of literature, visual art, or music....",https://philanthropynewsdigest.org/rfps/rfp18506-virginia-center-for-the-creative-arts-invites-applications-for-fellowships,,"November 17, 2025"
RFP,Carl & Marilynn Thoma Foundation invites applications for fellowships and travel awards,,"December 15, 2025",,The foundation offers predoctoral and postdoctoral fellowships in support of projects and research initiatives that will advance the study of the art of the Spanish Americas as well as grants for research-related expenses....,https://philanthropynewsdigest.org/rfps/rfp18489-carl-marilynn-thoma-foundation-invites-applications-for-fellowships-and-travel-awards,,"November 13, 2025"
RFP,Laura Bush Foundation for America’s Libraries invites applications from schools around the country,,"December 31, 2025",,The foundation supports school libraries with the goal of encouraging students to develop a love of reading and learning....,https://philanthropynewsdigest.org/rfps/rfp18490-laura-bush-foundation-for-america-s-libraries-invites-applications-from-schools-around-the-country,,"November 13, 2025"
RFP,Gottlieb Foundation invites applications from mature artists,,"January 15, 2026","$25,000 will be awarded to mature painters, sculptors, and printmakers who have been creating art for at least 20 years and are in financial need","Grants of $25,000 will be awarded to mature painters, sculptors, and printmakers who have been creating art for at least 20 years and are in financial need....",https://philanthropynewsdigest.org/rfps/rfp18479-gottlieb-foundation-invites-applications-from-mature-artists,,"November 11, 2025"
RFP,Les Paul Foundation invites applications for music programs,,"January 15, 2026",,Grants will be awarded in support of programs and projects that encourage innovation in music production and/or performance and to innovative STEM or STEAM programs for students and others in challenging situations....,https://philanthropynewsdigest.org/rfps/rfp18480-les-paul-foundation-invites-applications-for-music-programs,,"November 11, 2025"
RFP,Rochester Area Community Foundation invites applications for youth sports programs,,"December 1, 2025",,The fund was established to support opportunities for all children to be active through sport....,https://philanthropynewsdigest.org/rfps/rfp18499-rochester-area-community-foundation-invites-applications-for-youth-sports-programs,,"November 15, 2025"
RFP,Rochester Area Community Foundation invites applications for youth sports programs,,"December 1, 2025",,The fund was established to support opportunities for all children to be active through sport....,https://philanthropynewsdigest.org/rfps/rfp18499-rochester-area-community-foundation-invites-applications-for-youth-sports-programs,,"November 15, 2025"
RFP,"Many Hands invites applications from nonprofits serving women, children, and families in Washington, D.C.",,"January 16, 2026","up to $10,000 will be awarded to pediatric residents to support innovative community-based child health initiatives","Grants will be awarded in four focus areas: economic empowerment, education, health, and housing....",https://philanthropynewsdigest.org/rfps/rfp18495-many-hands-invites-applications-from-nonprofits-serving-women-children-and-families-in-washington-d.c,,"November 14, 2025"
RFP,"Many Hands invites applications from nonprofits serving women, children, and families in Washington, D.C.",,"January 16, 2026",,"Grants will be awarded in four focus areas: economic empowerment, education, health, and housing....",https://philanthropynewsdigest.org/rfps/rfp18495-many-hands-invites-applications-from-nonprofits-serving-women-children-and-families-in-washington-d.c,,"November 14, 2025"
RFP,American Academy of Pediatrics invites applications for children’s community-based health initiatives,,"January 20, 2026","up to $10,000 will be awarded to pediatric residents to support innovative community-based child health initiatives","Grants of up to $10,000 will be awarded to pediatric residents to support innovative community-based child health initiatives....",https://philanthropynewsdigest.org/rfps/rfp18496-american-academy-of-pediatrics-invites-applications-for-children-s-community-based-health-initiatives,,"November 14, 2025"
RFP,KidsGardening invites applications for 2026 Youth Garden Grants,,"December 12, 2025",,A total of 50 youth garden programs will be awarded $750 each in funding along with a collection of gardening supplies....,https://philanthropynewsdigest.org/rfps/rfp18487-kidsgardening-invites-applications-for-2026-youth-garden-grants,,"November 12, 2025"
RFP,Eau Claire Community Foundation invites applications from local nonprofits,,"January 21, 2026","up to $25,000 will be awarded to organizations delivering services within the Virginia counties of Fauquier, Rappahannock, and Culpeper","Grants will be awarded to support nonprofit agencies located in the Eau Claire, Wisconsin area, or to those able to demonstrate significant impact within this area....",https://philanthropynewsdigest.org/rfps/rfp18509-eau-claire-community-foundation-invites-applications-from-local-nonprofits,,"November 18, 2025"
RFP,Eau Claire Community Foundation invites applications from local nonprofits,,"January 21, 2026",,"Grants will be awarded to support nonprofit agencies located in the Eau Claire, Wisconsin area, or to those able to demonstrate significant impact within this area....",https://philanthropynewsdigest.org/rfps/rfp18509-eau-claire-community-foundation-invites-applications-from-local-nonprofits,,"November 18, 2025"
RFP,Irving S. Gilmore Foundation invites applications from organizations in greater Kalamazoo,,"January 5, 2026",,"Grants will be awarded in the foundation’s priority areas of arts, culture, and humanities; human services; education; community development; and health and well-being....",https://philanthropynewsdigest.org/rfps/rfp18502-irving-s.-gilmore-foundation-invites-applications-from-organizations-in-greater-kalamazoo,,"November 16, 2025"
RFP,Northern Piedmont Community Foundation invites applications for Community Assistance Grants program,,"January 19, 2026","up to $25,000 will be awarded to organizations delivering services within the Virginia counties of Fauquier, Rappahannock, and Culpeper","Grants of up to $25,000 will be awarded to organizations delivering services within the Virginia counties of Fauquier, Rappahannock, and Culpeper....",https://philanthropynewsdigest.org/rfps/rfp18482-northern-piedmont-community-foundation-invites-applications-for-community-assistance-grants-program,,"November 11, 2025"
RFP,Association of Reptile and Amphibian Veterinarians invites applications for the conservation of reptiles and amphibians,,"January 15, 2026","$1,500 will be awarded to support conservation-based projects involving reptiles and/or amphibians","A grant of $1,500 will be awarded to support conservation-based projects involving reptiles and/or amphibians....",https://philanthropynewsdigest.org/rfps/rfp18493-association-of-reptile-and-amphibian-veterinarians-invites-applications-for-the-conservation-of-reptiles-and-amphibians,,"November 14, 2025"
