Type,Title,Agency,Location,City,State,Deadline,Posted Date,Description,URL,Bid Number
RFP,"Reference: SPE7M126T2240 (Combined Synopsis/Solicitation)






 

DRUM WINCH AIRCRAFT / Other Aircraft Parts and Auxiliary Equipment Manufacturing / Aerospace Product and Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE7M126T2240 (Combined Synopsis/Solicitation)






 

DRUM WINCH AIRCRAFT / Other Aircraft Parts and Auxiliary Equipment Manufacturing / Aerospace Product and Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED",,,"2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","Reference: SPE7M126T2240 (Combined Synopsis/Solicitation)






 

DRUM WINCH AIRCRAFT / Other Aircraft Parts and Auxiliary Equipment Manufacturing / Aerospace Product and Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757128,
RFP,"Reference: SPE8E726T0739 (Combined Synopsis/Solicitation)






 

LIGHT ASSY EL / Motor Vehicle Electrical and Electronic Equipment Manufacturing / Motor Vehicle Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE8E726T0739 (Combined Synopsis/Solicitation)






 

LIGHT ASSY EL / Motor Vehicle Electrical and Electronic Equipment Manufacturing / Motor Vehicle Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED",,,"2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","Reference: SPE8E726T0739 (Combined Synopsis/Solicitation)






 

LIGHT ASSY EL / Motor Vehicle Electrical and Electronic Equipment Manufacturing / Motor Vehicle Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757163,
RFP,"Reference: 224043






 

Standard- and Medium-Duty Towing and Storage Services Service Area 14 for LAPD  




NEW OR UPDATED","November 18, 2025","Reference: 224043






 

Standard- and Medium-Duty Towing and Storage Services Service Area 14 for LAPD  




NEW OR UPDATED",,,"2026-01-14 


(Closing date appears to be Wednesday, January 14, 2026 - potential bidders should confirm)","2026-01-14 


(Closing date appears to be Wednesday, January 14, 2026 - potential bidders should confirm)","Reference: 224043






 

Standard- and Medium-Duty Towing and Storage Services Service Area 14 for LAPD  




NEW OR UPDATED November 18, 2025 2026-01-14 


(Closing date appears to be Wednesday, January 14, 2026 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757194,
RFP,"Reference: 36C24126Q0062 (Combined Synopsis/Solicitation)






 

Newington Campus BEI Corrections / Plumbing Heating and Air-Conditioning Contractors / Building Equipment Contractors / Specialty Trade Contractors  




NEW OR UPDATED","November 18, 2025","Reference: 36C24126Q0062 (Combined Synopsis/Solicitation)






 

Newington Campus BEI Corrections / Plumbing Heating and Air-Conditioning Contractors / Building Equipment Contractors / Specialty Trade Contractors  




NEW OR UPDATED",,,"2025-12-19 


(Closing date appears to be Friday, December 19, 2025 - potential bidders should confirm)","2025-12-19 


(Closing date appears to be Friday, December 19, 2025 - potential bidders should confirm)","Reference: 36C24126Q0062 (Combined Synopsis/Solicitation)






 

Newington Campus BEI Corrections / Plumbing Heating and Air-Conditioning Contractors / Building Equipment Contractors / Specialty Trade Contractors  




NEW OR UPDATED November 18, 2025 2025-12-19 


(Closing date appears to be Friday, December 19, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757056,
RFP,"Reference: SPE4A626T052B (Combined Synopsis/Solicitation)






 

CABLE ASSEMBLY SPEC / Current-Carrying Wiring Device Manufacturing / Wiring Device Manufacturing / Other Electrical Equipment and Component Manufacturing / Electrical Equipment Appliance and Component Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE4A626T052B (Combined Synopsis/Solicitation)






 

CABLE ASSEMBLY SPEC / Current-Carrying Wiring Device Manufacturing / Wiring Device Manufacturing / Other Electrical Equipment and Component Manufacturing / Electrical Equipment Appliance and Component Manufacturing  




NEW OR UPDATED",,,"2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)","2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)","Reference: SPE4A626T052B (Combined Synopsis/Solicitation)






 

CABLE ASSEMBLY SPEC / Current-Carrying Wiring Device Manufacturing / Wiring Device Manufacturing / Other Electrical Equipment and Component Manufacturing / Electrical Equipment Appliance and Component Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757098,
RFP,"Reference: W911S226U2220 (Combined Synopsis/Solicitation)






 

Joey Task Support Vehicle / All Other Miscellaneous Fabricated Metal Product Manufacturing / All Other Fabricated Metal Product Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: W911S226U2220 (Combined Synopsis/Solicitation)






 

Joey Task Support Vehicle / All Other Miscellaneous Fabricated Metal Product Manufacturing / All Other Fabricated Metal Product Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED",,,"2025-11-24 


(Closing date appears to be Monday, November 24, 2025 - potential bidders should confirm)","2025-11-24 


(Closing date appears to be Monday, November 24, 2025 - potential bidders should confirm)","Reference: W911S226U2220 (Combined Synopsis/Solicitation)






 

Joey Task Support Vehicle / All Other Miscellaneous Fabricated Metal Product Manufacturing / All Other Fabricated Metal Product Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-24 


(Closing date appears to be Monday, November 24, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757176,
RFP,"Reference: SPE7M326T1333 (Combined Synopsis/Solicitation)






 

STRAINER SEDIMENT / Fabricated Pipe and Pipe Fitting Manufacturing / All Other Fabricated Metal Product Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE7M326T1333 (Combined Synopsis/Solicitation)






 

STRAINER SEDIMENT / Fabricated Pipe and Pipe Fitting Manufacturing / All Other Fabricated Metal Product Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED",,,"2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","Reference: SPE7M326T1333 (Combined Synopsis/Solicitation)






 

STRAINER SEDIMENT / Fabricated Pipe and Pipe Fitting Manufacturing / All Other Fabricated Metal Product Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757136,
RFP,"Reference: SPE8EF26T0269 (Combined Synopsis/Solicitation)






 

TIE DOWN CARGO VEHI / Industrial Truck Tractor Trailer and Stacker Machinery Manufacturing / Material Handling Equipment Manufacturing / Other General Purpose Machinery Manufacturing / Machinery Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE8EF26T0269 (Combined Synopsis/Solicitation)






 

TIE DOWN CARGO VEHI / Industrial Truck Tractor Trailer and Stacker Machinery Manufacturing / Material Handling Equipment Manufacturing / Other General Purpose Machinery Manufacturing / Machinery Manufacturing  




NEW OR UPDATED",,,"2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","Reference: SPE8EF26T0269 (Combined Synopsis/Solicitation)






 

TIE DOWN CARGO VEHI / Industrial Truck Tractor Trailer and Stacker Machinery Manufacturing / Material Handling Equipment Manufacturing / Other General Purpose Machinery Manufacturing / Machinery Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757169,
RFP,"Reference: N6883626QS013 (Solicitation)






 

Director of Music Accompanist Gulfport MS / Musical Groups and Artists / Performing Arts Companies / Performing Arts Spectator Sports and Related Industries  




NEW OR UPDATED","November 18, 2025","Reference: N6883626QS013 (Solicitation)






 

Director of Music Accompanist Gulfport MS / Musical Groups and Artists / Performing Arts Companies / Performing Arts Spectator Sports and Related Industries  




NEW OR UPDATED",,,"2025-12-08 


(Closing date appears to be Monday, December 08, 2025 - potential bidders should confirm)","2025-12-08 


(Closing date appears to be Monday, December 08, 2025 - potential bidders should confirm)","Reference: N6883626QS013 (Solicitation)






 

Director of Music Accompanist Gulfport MS / Musical Groups and Artists / Performing Arts Companies / Performing Arts Spectator Sports and Related Industries  




NEW OR UPDATED November 18, 2025 2025-12-08 


(Closing date appears to be Monday, December 08, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757090,
RFP,"Reference: 36C25626Q0183 (Sources Sought)






 

SLVHCS FY26 Medical Waste Solicitation (VA-26-00022619) / Hazardous Waste Collection / Waste Collection / Waste Management and Remediation Services  




NEW OR UPDATED","November 18, 2025","Reference: 36C25626Q0183 (Sources Sought)






 

SLVHCS FY26 Medical Waste Solicitation (VA-26-00022619) / Hazardous Waste Collection / Waste Collection / Waste Management and Remediation Services  




NEW OR UPDATED",,,"2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)","2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)","Reference: 36C25626Q0183 (Sources Sought)






 

SLVHCS FY26 Medical Waste Solicitation (VA-26-00022619) / Hazardous Waste Collection / Waste Collection / Waste Management and Remediation Services  




NEW OR UPDATED November 18, 2025 2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757062,
