Collection,ID,Title,Description,Source,URL,Deadline
grants.gov,131073,"Cooperative Ecosystem Studies Unit, Piedmont South Atlantic Coast CESU","Cooperative Ecosystem Studies Unit, Piedmont South Atlantic Coast CESU",grants.gov,,11292011
grants.gov,131093,Shared Instrumentation Grant Program (S10),Shared Instrumentation Grant Program (S10),grants.gov,,03212012
grants.gov,131094,"Plant Feedstock Genomics for Bioenergy:  A Joint Research Funding Opportunity Announcement USDA, DOE","Plant Feedstock Genomics for Bioenergy:  A Joint Research Funding Opportunity Announcement USDA, DOE",grants.gov,,02242012
grants.gov,131095,Management of HIV-Related Lung Disease and Cardiovascular Co-Morbidity (R34),Management of HIV-Related Lung Disease and Cardiovascular Co-Morbidity (R34),grants.gov,,03152012
grants.gov,131113,Rheumatic Diseases Research Core Centers (P30),Rheumatic Diseases Research Core Centers (P30),grants.gov,,03012012
grants.gov,131133,NIDDK Mentored Research Scientist Development Award (K01),NIDDK Mentored Research Scientist Development Award (K01),grants.gov,,06252014
grants.gov,131173,Benthic Macro-Invertebrate Inventory,Benthic Macro-Invertebrate Inventory,grants.gov,,11212011
grants.gov,131174,Recreation User Survey,Recreation User Survey,grants.gov,,11212011
grants.gov,131175,Socioeconomic Impacts of the North Cumberland Wildlife Management Area and the Emory River Tracts Conservation Easement,Socioeconomic Impacts of the North Cumberland Wildlife Management Area and the Emory River Tracts Conservation Easement,grants.gov,,11212011
grants.gov,131193,Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers,Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers,grants.gov,,12212011
grants.gov,131213,Technology Development to Enable Large Scale Metabolomics Analyses (R01),Technology Development to Enable Large Scale Metabolomics Analyses (R01),grants.gov,,01312012
grants.gov,131233,Scale-Up of Care and Support Services for Orphans and Vulnerable Children (OVC) in Selected States in Nigeria,Scale-Up of Care and Support Services for Orphans and Vulnerable Children (OVC) in Selected States in Nigeria,grants.gov,,01232012
grants.gov,131253,FY 2012 Request for Proposals from Indian Tribes and Intertribal Consortia for Nonpoint Source Management Grants Under Clean Water Act (CWA) Section 319,FY 2012 Request for Proposals from Indian Tribes and Intertribal Consortia for Nonpoint Source Management Grants Under Clean Water Act (CWA) Section 319,grants.gov,,01202012
grants.gov,131273,Midcareer Investigator Award in Mouse Pathobiology and Comprehensive Phenotyping Research (K26),Midcareer Investigator Award in Mouse Pathobiology and Comprehensive Phenotyping Research (K26),grants.gov,,09202012
grants.gov,131293,Wildlife Restoration Grant Program,Wildlife Restoration Grant Program,grants.gov,,09302012
grants.gov,131313,Metal Direct Digital Manufacturing for Industrial Base Innovation Fund (IBIF) Program,Metal Direct Digital Manufacturing for Industrial Base Innovation Fund (IBIF) Program,grants.gov,,12192011
grants.gov,131314,Synthesis and communication of results from the evaluation of a pelagic organism decline (POD) in the upper San Francisco Estuary,Synthesis and communication of results from the evaluation of a pelagic organism decline (POD) in the upper San Francisco Estuary,grants.gov,,12022011
grants.gov,131333,Practical Interventions to Improve Medication Adherence in Primary Care (R21),Practical Interventions to Improve Medication Adherence in Primary Care (R21),grants.gov,,01072014
grants.gov,131334,Practical Interventions to Improve Medication Adherence in Primary Care (R01),Practical Interventions to Improve Medication Adherence in Primary Care (R01),grants.gov,,01072014
grants.gov,131353,Lasker Clinical Research Scholars Program (Si2),Lasker Clinical Research Scholars Program (Si2),grants.gov,,01242012
grants.gov,131373,Application of Genomic Advances to Wound Repair (R21),Application of Genomic Advances to Wound Repair (R21),grants.gov,,01232012
grants.gov,131374,Application of Genomic Advances to Wound Repair (R01),Application of Genomic Advances to Wound Repair (R01),grants.gov,,01232012
grants.gov,131375,Behavioral Interventions to Address Multiple Chronic Health Conditions in Primary Care (R01),Behavioral Interventions to Address Multiple Chronic Health Conditions in Primary Care (R01),grants.gov,,01072014
grants.gov,131376,All Children Reading Competition,All Children Reading Competition,grants.gov,,01312012
grants.gov,131394,"Alcohol impairment of immune function, host defense and tissue homeostasis (R01)","Alcohol impairment of immune function, host defense and tissue homeostasis (R01)",grants.gov,,01072015
grants.gov,131396,"Alcohol impairment of immune function, host defense and tissue homeostasis (R21)","Alcohol impairment of immune function, host defense and tissue homeostasis (R21)",grants.gov,,01072015
grants.gov,131413,Effects of adolescent binge drinking on brain development (R01),Effects of adolescent binge drinking on brain development (R01),grants.gov,,01072015
grants.gov,131414,Effects of Adolescent Binge Drinking on Brain Development (R21),Effects of Adolescent Binge Drinking on Brain Development (R21),grants.gov,,05072015
grants.gov,131433,Screening and Brief Alcohol Interventions in Underage and Young Adult Populations (R03),Screening and Brief Alcohol Interventions in Underage and Young Adult Populations (R03),grants.gov,,01072015
grants.gov,131434,Screening and Brief Alcohol Interventions in Underage and Young Adult Populations (R21),Screening and Brief Alcohol Interventions in Underage and Young Adult Populations (R21),grants.gov,,01072015
grants.gov,131435,Screening and Brief Alcohol Interventions in Underage and Young Adult Populations (R01),Screening and Brief Alcohol Interventions in Underage and Young Adult Populations (R01),grants.gov,,01072015
grants.gov,131453,"Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Etiology, Diagnosis, Pathophysiology, and Treatment (R01)","Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Etiology, Diagnosis, Pathophysiology, and Treatment (R01)",grants.gov,,02242015
grants.gov,131454,"Myalgic Encephalomyelitis/Chronic Fatigue Syndrome:  Etiology, Diagnosis, Pathophysiology, and Treatment (R21)","Myalgic Encephalomyelitis/Chronic Fatigue Syndrome:  Etiology, Diagnosis, Pathophysiology, and Treatment (R21)",grants.gov,,02242015
grants.gov,131473,Physical and Engineering Sciences in Oncology,Physical and Engineering Sciences in Oncology,grants.gov,,
grants.gov,131475,Advancing Health Services through System Modeling Research,Advancing Health Services through System Modeling Research,grants.gov,,02152012
grants.gov,131493,FY 2012 Public Works and Economic Adjustment Assistance Programs Opportunity,FY 2012 Public Works and Economic Adjustment Assistance Programs Opportunity,grants.gov,,11262012
grants.gov,131513,"Endangered Butterfly Captive Rearing &amp; Population Surveys for Defense Fuel Support Point, San Pedro, CA","Endangered Butterfly Captive Rearing &amp; Population Surveys for Defense Fuel Support Point, San Pedro, CA",grants.gov,,01042012
grants.gov,131573,Institutes for Advanced Topics in the Digital Humanities,Institutes for Advanced Topics in the Digital Humanities,grants.gov,,03062012
grants.gov,131593,Study of the United States Institutes for Student Leaders on U.S. History and Government,Study of the United States Institutes for Student Leaders on U.S. History and Government,grants.gov,,01132012
grants.gov,131594,Youth Leadership Program with Algeria,Youth Leadership Program with Algeria,grants.gov,,01042012
grants.gov,131613,"New Tools to Study Astrocyte Heterogeneity, Development and Function in Brain Regions Relevant to Mental Illness (R01)","New Tools to Study Astrocyte Heterogeneity, Development and Function in Brain Regions Relevant to Mental Illness (R01)",grants.gov,,03092012
grants.gov,131614,FY12 DoD High Energy Laser Multidisciplinary Research Initiative (HEL-MRI),FY12 DoD High Energy Laser Multidisciplinary Research Initiative (HEL-MRI),grants.gov,,02012012
